No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
147,Tourism and Hospitality Studies,,Female,Number,2319,2163,,12,56,148,443,962,1731,2044,119
148,Tourism and Hospitality Studies,,Female,Percentage,,,87.0,0.6%,2.6%,6.8%,20.5%,44.5%,80.0%,94.5%,5.5%
149,Tourism and Hospitality Studies,,Total,Number,4117,3783,,23,83,203,634,1486,2899,3477,306
150,Tourism and Hospitality Studies,,Total,Percentage,,,88.3,0.6%,2.2%,5.4%,16.8%,39.3%,76.6%,91.9%,8.1%
151,Visual Arts,,Male,Number,958,889,,2,7,21,120,342,662,818,71
152,Visual Arts,,Male,Percentage,,,85.5,0.2%,0.8%,2.4%,13.5%,38.5%,74.5%,92.0%,8.0%
153,Visual Arts,,Female,Number,2820,2738,,24,92,226,753,1570,2452,2658,80
154,Visual Arts,,Female,Percentage,,,84.6,0.9%,3.4%,8.3%,27.5%,57.3%,89.6%,97.1%,2.9%
155,Visual Arts,,Total,Number,3778,3627,,26,99,247,873,1912,3114,3476,151
156,Visual Arts,,Total,Percentage,,,84.8,0.7%,2.7%,6.8%,24.1%,52.7%,85.9%,95.8%,4.2%
157,All Category A subjects# (except Citizenship and Social Development),,Male,Number,124344,118167,,2047,7288,17309,41312,71547,100244,111085,7082
158,All Category A subjects# (except Citizenship and Social Development),,Male,Percentage,,,48.5,1.7%,6.2%,14.6%,35.0%,60.5%,84.8%,94.0%,6.0%
159,All Category A subjects# (except Citizenship and Social Development),,Female,Number,116984,112650,,1461,6198,15705,42064,72734,98750,107800,4850
160,All Category A subjects# (except Citizenship and Social Development),,Female,Percentage,,,43.7,1.3%,5.5%,13.9%,37.3%,64.6%,87.7%,95.7%,4.3%
161,All Category A subjects# (except Citizenship and Social Development),,Total,Number,241328,230817,,3508,13486,33014,83376,144281,198994,218885,11932
162,All Category A subjects# (except Citizenship and Social Development),,Total,Percentage,,,46.2,1.5%,5.8%,14.3%,36.1%,62.5%,86.2%,94.8%,5.2%
