行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
182,科學,綜合科學,男生,百分比,,,72.5,0.0%,0.0%,3.9%,15.7%,37.3%,68.6%,92.2%,7.8%
183,科學,綜合科學,女生,人數,39,39,,1,3,6,16,24,33,36,3
184,科學,綜合科學,女生,百分比,,,53.8,2.6%,7.7%,15.4%,41.0%,61.5%,84.6%,92.3%,7.7%
185,科學,綜合科學,總數,人數,92,90,,1,3,8,24,43,68,83,7
186,科學,綜合科學,總數,百分比,,,64.4,1.1%,3.3%,8.9%,26.7%,47.8%,75.6%,92.2%,7.8%
187,科技與生活,食品科學與科技,男生,人數,41,35,,0,0,0,1,6,15,23,12
188,科技與生活,食品科學與科技,男生,百分比,,,85.7,0.0%,0.0%,0.0%,2.9%,17.1%,42.9%,65.7%,34.3%
189,科技與生活,食品科學與科技,女生,人數,115,113,,1,4,9,27,60,93,110,3
190,科技與生活,食品科學與科技,女生,百分比,,,55.8,0.9%,3.5%,8.0%,23.9%,53.1%,82.3%,97.3%,2.7%
191,科技與生活,食品科學與科技,總數,人數,156,148,,1,4,9,28,66,108,133,15
192,科技與生活,食品科學與科技,總數,百分比,,,62.8,0.7%,2.7%,6.1%,18.9%,44.6%,73.0%,89.9%,10.1%
193,科技與生活,服裝、成衣與紡織,男生,人數,1,1,,0,0,0,0,0,0,1,0
194,科技與生活,服裝、成衣與紡織,男生,百分比,,,100,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
195,科技與生活,服裝、成衣與紡織,女生,人數,30,27,,0,1,1,6,13,25,27,0
196,科技與生活,服裝、成衣與紡織,女生,百分比,,,66.7,0.0%,3.7%,3.7%,22.2%,48.1%,92.6%,100.0%,0.0%
197,科技與生活,服裝、成衣與紡織,總數,人數,31,28,,0,1,1,6,13,25,28,0
198,科技與生活,服裝、成衣與紡織,總數,百分比,,,67.9,0.0%,3.6%,3.6%,21.4%,46.4%,89.3%,100.0%,0.0%
199,旅遊與款待,,男生,人數,1306,1201,,1,11,27,112,324,821,1079,122
200,旅遊與款待,,男生,百分比,,,87.6,0.1%,0.9%,2.2%,9.3%,27.0%,68.4%,89.8%,10.2%
201,旅遊與款待,,女生,人數,1970,1897,,13,48,119,359,816,1563,1820,77
202,旅遊與款待,,女生,百分比,,,83.4,0.7%,2.5%,6.3%,18.9%,43.0%,82.4%,95.9%,4.1%
203,旅遊與款待,,總數,人數,3276,3098,,14,59,146,471,1140,2384,2899,199
204,旅遊與款待,,總數,百分比,,,85.1,0.5%,1.9%,4.7%,15.2%,36.8%,77.0%,93.6%,6.4%
205,視覺藝術,,男生,人數,783,752,,4,11,28,98,265,523,689,63
206,視覺藝術,,男生,百分比,,,87.4,0.5%,1.5%,3.7%,13.0%,35.2%,69.5%,91.6%,8.4%
207,視覺藝術,,女生,人數,2386,2325,,16,67,172,578,1297,2063,2262,63
208,視覺藝術,,女生,百分比,,,83.7,0.7%,2.9%,7.4%,24.9%,55.8%,88.7%,97.3%,2.7%
209,視覺藝術,,總數,人數,3169,3077,,20,78,200,676,1562,2586,2951,126
210,視覺藝術,,總數,百分比,,,84.6,0.6%,2.5%,6.5%,22.0%,50.8%,84.0%,95.9%,4.1%
211,所有甲類學科,,男生,人數,133682,130229,,1682,6331,15192,41349,74036,106797,122589,7640
212,所有甲類學科,,男生,百分比,,,56.5,1.3%,4.9%,11.7%,31.8%,56.9%,82.0%,94.1%,5.9%
213,所有甲類學科,,女生,人數,133152,130994,,1677,6947,17652,51877,87501,116415,127045,3949
214,所有甲類學科,,女生,百分比,,,49.6,1.3%,5.3%,13.5%,39.6%,66.8%,88.9%,97.0%,3.0%
215,所有甲類學科,,總數,人數,266834,261223,,3359,13278,32844,93226,161537,223212,249634,11589
216,所有甲類學科,,總數,百分比,,,53,1.3%,5.1%,12.6%,35.7%,61.8%,85.4%,95.6%,4.4%
